,Unnamed: 0,Seat,State,Name,LQ Score,Year,Party
119,119,8,GEORGIA,Marshall,35,2010,D
120,120,6,GEORGIA,Price T.,0,2010,R
121,121,13,GEORGIA,Scott D.,90,2010,D
122,122,3,GEORGIA,Westmoreland L.,0,2010,R
123,123,1,HAWAII,Djou,30,2010,R
124,124,2,HAWAII,Hirono,95,2010,D
125,125,1,IDAHO,Minnick,50,2010,D
126,126,2,IDAHO,Simpson,5,2010,R
127,127,8,ILLINOIS,Bean,65,2010,D
128,128,13,ILLINOIS,Biggert,20,2010,R
129,129,12,ILLINOIS,Costello,70,2010,D
130,130,7,ILLINOIS,Davis D.,85,2010,D
131,131,14,ILLINOIS,Foster,90,2010,D
132,132,4,ILLINOIS,Gutierrez,90,2010,D
133,133,11,ILLINOIS,Halvorson,80,2010,D
134,134,17,ILLINOIS,Hare,90,2010,D
135,135,2,ILLINOIS,Jackson J.,100,2010,D
136,136,15,ILLINOIS,Johnson Timothy,25,2010,R
137,137,10,ILLINOIS,Kirk,10,2010,R
138,138,3,ILLINOIS,Lipinski,65,2010,D
139,139,16,ILLINOIS,Manzullo,10,2010,R
140,140,5,ILLINOIS,Quigley,95,2010,D
141,141,6,ILLINOIS,Roskam,5,2010,R
142,142,1,ILLINOIS,Rush,85,2010,D
143,143,9,ILLINOIS,Schakowsky,95,2010,D
144,144,18,ILLINOIS,Schock,0,2010,R
145,145,19,ILLINOIS,Shimkus,0,2010,R
146,146,5,INDIANA,Burton,0,2010,R
147,147,4,INDIANA,Buyer,0,2010,R
148,148,7,INDIANA,Carson,90,2010,D
149,149,2,INDIANA,Donnelly,60,2010,D
150,150,8,INDIANA,Ellsworth,65,2010,D
151,151,9,INDIANA,Hill,70,2010,D
152,152,6,INDIANA,Pence,5,2010,R
153,153,1,INDIANA,Visclosky,95,2010,D
154,154,3,IOWA,Boswell,90,2010,D
155,155,1,IOWA,Braley,100,2010,D
156,156,5,IOWA,King S.,5,2010,R
157,157,4,IOWA,Latham,0,2010,R
158,158,2,IOWA,Loebsack,95,2010,D
159,159,2,KANSAS,Jenkins,0,2010,R
160,160,3,KANSAS,Moore D.,90,2010,D
161,161,1,KANSAS,Moran Jerry,5,2010,R
162,162,4,KANSAS,Tiahrt,0,2010,R
163,163,6,KENTUCKY,Chandler,65,2010,D
164,164,4,KENTUCKY,Davis G.,0,2010,R
165,165,2,KENTUCKY,Guthrie,0,2010,R
166,166,5,KENTUCKY,Rogers H.,0,2010,R
167,167,1,KENTUCKY,Whitfi eld,15,2010,R
168,168,3,KENTUCKY,Yarmuth,100,2010,D
169,169,5,LOUISIANA,Alexander R.,5,2010,R
170,170,7,LOUISIANA,Boustany,0,2010,R
171,171,2,LOUISIANA,Cao,45,2010,R
172,172,6,LOUISIANA,Cassidy,5,2010,R
173,173,4,LOUISIANA,Fleming,5,2010,R
174,174,3,LOUISIANA,Melancon,65,2010,D
175,175,1,LOUISIANA,Scalise,0,2010,R
176,176,2,MAINE,Michaud,90,2010,D
177,177,1,MAINE,Pingree,100,2010,D
178,178,6,MARYLAND,Bartlett,0,2010,R
179,179,7,MARYLAND,Cummings,95,2010,D
180,180,4,MARYLAND,Edwards D.,95,2010,D
181,181,5,MARYLAND,Hoyer,90,2010,D
182,182,1,MARYLAND,Kratovil,50,2010,D
183,183,2,MARYLAND,Ruppersberger,80,2010,D
184,184,3,MARYLAND,Sarbanes,95,2010,D
185,185,8,MARYLAND,Van Hollen,100,2010,D
186,186,8,MASSACHUSETTS,Capuano,95,2010,D
187,187,10,MASSACHUSETTS,Delahunt,70,2010,D
188,188,4,MASSACHUSETTS,Frank B.,100,2010,D
189,189,9,MASSACHUSETTS,Lynch,95,2010,D
190,190,7,MASSACHUSETTS,Markey E.,100,2010,D
191,191,3,MASSACHUSETTS,McGovern,100,2010,D
192,192,2,MASSACHUSETTS,Neal,95,2010,D
193,193,1,MASSACHUSETTS,Olver,100,2010,D
194,194,6,MASSACHUSETTS,Tierney,95,2010,D
195,195,5,MASSACHUSETTS,Tsongas,95,2010,D
196,196,4,MICHIGAN,Camp,0,2010,R
197,197,14,MICHIGAN,Conyers,90,2010,D
198,198,15,MICHIGAN,Dingell,85,2010,D
199,199,3,MICHIGAN,Ehlers,40,2010,R
200,200,2,MICHIGAN,Hoekstra,5,2010,R
201,201,5,MICHIGAN,Kildee,95,2010,D
202,202,13,MICHIGAN,Kilpatrick,75,2010,D
203,203,12,MICHIGAN,Levin S.,90,2010,D
204,204,11,MICHIGAN,McCotter,15,2010,R
205,205,10,MICHIGAN,Miller C.,5,2010,R
206,206,9,MICHIGAN,Peters,90,2010,D
207,207,8,MICHIGAN,Rogers Mike,10,2010,R
208,208,7,MICHIGAN,Schauer,90,2010,D
209,209,1,MICHIGAN,Stupak,95,2010,D
210,210,6,MICHIGAN,Upton,10,2010,R
211,211,6,MINNESOTA,Bachmann,5,2010,R
212,212,5,MINNESOTA,Ellison,100,2010,D
213,213,2,MINNESOTA,Kline J.,0,2010,R
214,214,4,MINNESOTA,McCollum,100,2010,D
215,215,8,MINNESOTA,Oberstar,95,2010,D
216,216,3,MINNESOTA,Paulsen,0,2010,R
217,217,7,MINNESOTA,Peterson,40,2010,D
218,218,1,MINNESOTA,Walz,90,2010,D
219,219,1,MISSISSIPPI,Childers,35,2010,D
220,220,3,MISSISSIPPI,Harper,0,2010,R
221,221,4,MISSISSIPPI,Taylor,35,2010,D
222,222,2,MISSISSIPPI,Thompson B.,95,2010,D
223,223,2,MISSOURI,Akin,0,2010,R
224,224,7,MISSOURI,Blunt,0,2010,R
225,225,3,MISSOURI,Carnahan,95,2010,D
226,226,1,MISSOURI,Clay,85,2010,D
227,227,5,MISSOURI,Cleaver,100,2010,D
228,228,8,MISSOURI,Emerson,0,2010,R
229,229,6,MISSOURI,Graves S.,0,2010,R
230,230,9,MISSOURI,Luetkemeyer,0,2010,R
231,231,4,MISSOURI,Skelton,45,2010,D
232,232,1,MONTANA,Rehberg,5,2010,R
233,233,1,NEBRASKA,Fortenberry,15,2010,R
234,234,3,NEBRASKA,Smith Adrian,0,2010,R
235,235,2,NEBRASKA,Terry,5,2010,R
236,236,1,NEVADA,Berkley,85,2010,D
237,237,2,NEVADA,Heller,10,2010,R
238,238,3,NEVADA,Titus,85,2010,D
239,239,2,NEW HAMPSHIRE,Hodes,80,2010,D
240,240,1,NEW HAMPSHIRE,SheaPorter,95,2010,D
241,241,3,NEW JERSEY,Adler,55,2010,D
242,242,1,NEW JERSEY,Andrews,90,2010,D
243,243,11,NEW JERSEY,Frelinghuysen,5,2010,R
