,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
14083,1998,ARIZONA,AZ,4,86,61,US HOUSE,5,GEN,False,False,TOM VOLGY,DEMOCRAT,False,TOTAL,91030,201473,False,20230706,False
14084,1998,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,False,False,J D HAYWORTH,REPUBLICAN,False,TOTAL,106891,201537,False,20230706,False
14085,1998,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,False,False,ROBERT ANDERSON,LIBERTARIAN,False,TOTAL,6645,201537,False,20230706,False
14086,1998,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,False,False,STEVE OWENS,DEMOCRAT,False,TOTAL,88001,201537,False,20230706,False
14087,1998,ARKANSAS,AR,5,71,42,US HOUSE,1,GEN,False,False,MARION BERRY,DEMOCRAT,False,TOTAL,1,1,False,20230706,False
14088,1998,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,False,False,PHIL WYRICK,REPUBLICAN,False,TOTAL,72737,173071,False,20230706,False
14089,1998,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,False,False,VIC SNYDER,DEMOCRAT,False,TOTAL,100334,173071,False,20230706,False
14090,1998,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,False,False,ASA HUTCHINSON,REPUBLICAN,False,TOTAL,154780,191697,False,20230706,False
14091,1998,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,False,False,RALPH FORBES,REFORM,False,TOTAL,36917,191697,False,20230706,False
14092,1998,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,False,False,JAY DICKEY,REPUBLICAN,False,TOTAL,92346,160540,False,20230706,False
14093,1998,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,False,False,JUDY SMITH,DEMOCRAT,False,TOTAL,68194,160540,False,20230706,False
14094,1998,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,False,False,EMIL P ROSSI,LIBERTARIAN,False,TOTAL,5404,196805,False,20230706,False
14095,1998,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,False,False,ERNEST K JONES JR,PEACE AND FREEDOM,False,TOTAL,4996,196805,False,20230706,False
14096,1998,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,False,False,MARK C LUCE,REPUBLICAN,False,TOTAL,64692,196805,False,20230706,False
14097,1998,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,False,False,MIKE THOMPSON,DEMOCRAT,False,TOTAL,121713,196805,False,20230706,False
14098,1998,CALIFORNIA,CA,6,93,71,US HOUSE,2,GEN,False,False,PATRICE THIESSEN,NATURAL LAW,False,TOTAL,6138,205347,False,20230706,False
14099,1998,CALIFORNIA,CA,6,93,71,US HOUSE,2,GEN,False,False,"ROBERTS ""ROB"" BRADEN",DEMOCRAT,False,TOTAL,70837,205347,False,20230706,False
14100,1998,CALIFORNIA,CA,6,93,71,US HOUSE,2,GEN,False,False,WALLY HERGER,REPUBLICAN,False,TOTAL,128372,205347,False,20230706,False
14101,1998,CALIFORNIA,CA,6,93,71,US HOUSE,3,GEN,False,False,DOUG OSE,REPUBLICAN,False,TOTAL,100621,192006,False,20230706,False
14102,1998,CALIFORNIA,CA,6,93,71,US HOUSE,3,GEN,False,False,ROSS CRAIN,LIBERTARIAN,False,TOTAL,4914,192006,False,20230706,False
14103,1998,CALIFORNIA,CA,6,93,71,US HOUSE,3,GEN,False,False,SANDIE DUNN,DEMOCRAT,False,TOTAL,86471,192006,False,20230706,False
14104,1998,CALIFORNIA,CA,6,93,71,US HOUSE,4,GEN,False,False,DAN WINTERROWD,LIBERTARIAN,False,TOTAL,7524,248224,False,20230706,False
14105,1998,CALIFORNIA,CA,6,93,71,US HOUSE,4,GEN,False,False,DAVID SHAPIRO,DEMOCRAT,False,TOTAL,85394,248224,False,20230706,False
14106,1998,CALIFORNIA,CA,6,93,71,US HOUSE,4,GEN,False,False,JOHN T DOOLITTLE,REPUBLICAN,False,TOTAL,155306,248224,False,20230706,False
14107,1998,CALIFORNIA,CA,6,93,71,US HOUSE,5,GEN,False,False,DOUGLAS ARTHUR TUMA,LIBERTARIAN,False,TOTAL,3746,181768,False,20230706,False
14108,1998,CALIFORNIA,CA,6,93,71,US HOUSE,5,GEN,False,False,ROBERT S DINSMORE,REPUBLICAN,False,TOTAL,47307,181768,False,20230706,False
14109,1998,CALIFORNIA,CA,6,93,71,US HOUSE,5,GEN,False,False,ROBERT T MATSUI,DEMOCRAT,False,TOTAL,130715,181768,False,20230706,False
14110,1998,CALIFORNIA,CA,6,93,71,US HOUSE,6,GEN,False,False,ALAN R BARRECA,NATURAL LAW,False,TOTAL,5240,232981,False,20230706,False
14111,1998,CALIFORNIA,CA,6,93,71,US HOUSE,6,GEN,False,False,KEN MCAULIFFE,REPUBLICAN,False,TOTAL,69295,232981,False,20230706,False
14112,1998,CALIFORNIA,CA,6,93,71,US HOUSE,6,GEN,False,False,LYNN C WOOLSEY,DEMOCRAT,False,TOTAL,158446,232981,False,20230706,False
14113,1998,CALIFORNIA,CA,6,93,71,US HOUSE,7,GEN,False,False,GEORGE MILLER,DEMOCRAT,False,TOTAL,125842,164132,False,20230706,False
14114,1998,CALIFORNIA,CA,6,93,71,US HOUSE,7,GEN,False,False,NORMAN H REECE,REPUBLICAN,False,TOTAL,38290,164132,False,20230706,False
14115,1998,CALIFORNIA,CA,6,93,71,US HOUSE,8,GEN,False,False,DAVID J MARTZ,REPUBLICAN,False,TOTAL,20781,172462,False,20230706,False
14116,1998,CALIFORNIA,CA,6,93,71,US HOUSE,8,GEN,False,False,DAVID SMITHSTEIN,NATURAL LAW,False,TOTAL,3654,172462,False,20230706,False
14117,1998,CALIFORNIA,CA,6,93,71,US HOUSE,8,GEN,False,False,NANCY PELOSI,DEMOCRAT,False,TOTAL,148027,172462,False,20230706,False
14118,1998,CALIFORNIA,CA,6,93,71,US HOUSE,9,GEN,False,False,BARBARA LEE,DEMOCRAT,False,TOTAL,140722,169895,False,20230706,False
14119,1998,CALIFORNIA,CA,6,93,71,US HOUSE,9,GEN,False,False,"CLAIBORNE ""CLAY"" SANDERS",REPUBLICAN,False,TOTAL,22431,169895,False,20230706,False
14120,1998,CALIFORNIA,CA,6,93,71,US HOUSE,9,GEN,False,False,GERALD SANDERS,PEACE AND FREEDOM,False,TOTAL,4767,169895,False,20230706,False
14121,1998,CALIFORNIA,CA,6,93,71,US HOUSE,9,GEN,False,False,WALTER RUEHLIG,NATURAL LAW,False,TOTAL,1975,169895,False,20230706,False
14122,1998,CALIFORNIA,CA,6,93,71,US HOUSE,10,GEN,False,False,CHARLES BALL,REPUBLICAN,False,TOTAL,103299,237809,False,20230706,False
